"Genmodel_ID","Image_name","Automaker","Firm","Region","old_firm","old_automaker","version","Color","clustering_ids","ht","wb","Price","hpwt","mpd","mpg","space","wt","hp","len","wid","eswt","Gas_emission","in_uk_blp","xi_fe"
"16_11","Chevrolet$$Lacetti$$2008$$Blue$$16_11$$17$$image_4.jpg",18,6,9,"GM","Chevrolet",TRUE,3,18,56.9,102.4,9.75988125,0.364425073,0.862653468,3.9,1.148379162,257.94054,94,4295,1725,0.54237306,1.65,TRUE,-9.864
"16_13","Chevrolet$$Orlando$$2013$$Grey$$16_13$$19$$image_0.jpg",18,6,9,"GM","Chevrolet",TRUE,4,19,64.3,108.7,17.3339,0.412627058,0.684053575,4,1.323870238,336.865936,139,4652,1836,0.533149781,1.64,TRUE,-7.231
"16_13","Chevrolet$$Orlando$$2013$$Silver$$16_13$$80$$image_2.jpg",18,6,9,"GM","Chevrolet",TRUE,2,19,64.3,108.7,17.3339,0.412627058,0.684053575,4,1.323870238,336.865936,139,4652,1836,0.533149781,1.64,TRUE,-7.231
"16_13","Chevrolet$$Orlando$$2012$$Red$$16_13$$57$$image_2.jpg",18,6,9,"GM","Chevrolet",TRUE,6,19,64.3,108.7,17.3339,0.412627058,0.684053575,4,1.323870238,336.865936,139,4652,1836,0.533149781,1.64,TRUE,-7.231
"16_14","Chevrolet$$Spark$$2010$$Green$$16_14$$79$$image_0.jpg",18,6,9,"GM","Chevrolet",TRUE,7,20,61,93.5,7.84857,0.351744502,0.990761838,5.54,0.896574531,190.479168,67,3622,1597,0.522366834,1.186,TRUE,-10.273
"16_14","Chevrolet$$Spark$$2011$$Green$$16_14$$15$$image_0.jpg",18,6,9,"GM","Chevrolet",TRUE,7,20,61,93.5,7.84857,0.351744502,0.990761838,5.54,0.896574531,190.479168,67,3622,1597,0.522366834,1.186,TRUE,-10.273
"16_14","Chevrolet$$Spark$$2010$$Green$$16_14$$79$$image_15.jpg",18,6,9,"GM","Chevrolet",TRUE,7,20,61,93.5,7.84857,0.351744502,0.990761838,5.54,0.896574531,190.479168,67,3622,1597,0.522366834,1.186,TRUE,-10.273
"16_14","Chevrolet$$Spark$$2011$$Green$$16_14$$15$$image_11.jpg",18,6,9,"GM","Chevrolet",TRUE,7,20,61,93.5,7.84857,0.351744502,0.990761838,5.54,0.896574531,190.479168,67,3622,1597,0.522366834,1.186,TRUE,-10.273
"16_14","Chevrolet$$Spark$$2013$$Silver$$16_14$$42$$image_0.jpg",18,6,9,"GM","Chevrolet",TRUE,2,20,61,93.5,7.84857,0.351744502,0.990761838,5.54,0.896574531,190.479168,67,3622,1597,0.522366834,1.186,TRUE,-10.273
"16_2","Chevrolet$$Aveo$$2009$$Silver$$16_2$$49$$image_2.jpg",18,6,9,"GM","Chevrolet",TRUE,2,25,59.21666667,97.6,8.773,0.35977375,1.050404257,5.183333333,1.046334184,229.7948913,82.66666667,3959.666667,1704.333333,0.528221679,1.281666667,TRUE,-9.407
"16_5","Chevrolet$$Captiva$$2013$$Black$$16_5$$7$$image_2.jpg",18,6,9,"GM","Chevrolet",TRUE,1,38,67.7,106.6,18.53263857,0.390644133,0.731874843,3.885714286,1.514897122,380.3599391,148.8571429,4656.714286,2098,0.607726322,1.875714286,TRUE,-6.133
"16_5","Chevrolet$$Captiva$$2010$$Black$$16_5$$42$$image_2.jpg",18,6,9,"GM","Chevrolet",TRUE,1,38,67.7,106.6,18.53263857,0.390644133,0.731874843,3.885714286,1.514897122,380.3599391,148.8571429,4656.714286,2098,0.607726322,1.875714286,TRUE,-6.133
"16_7","Chevrolet$$Cruze$$2012$$Grey$$16_7$$4$$image_6.jpg",18,6,9,"GM","Chevrolet",TRUE,4,40,58.1,105.7,13.229805,0.403624667,0.788248798,4.116666667,1.265663683,285.6820083,115.3333333,4555.5,1792.5,0.559403191,1.573333333,TRUE,-9.421
"17_1","Chrysler$$300C$$2006$$Black$$17_1$$58$$image_11.jpg",18,2,9,"Chrysler","Chrysler",TRUE,1,41,58.4,120.08,25.9093002,0.504021468,0.714145266,3.64,1.474230125,443.3049896,223.4,5035.4,1888.8,0.67523351,2.054,TRUE,-7.336
"17_10","Chrysler$$Ypsilon$$2012$$Red$$17_10$$28$$image_1.jpg",18,2,9,"Chrysler","Chrysler",TRUE,6,42,59.4,94.1,10.23875,0.319630237,0.936257678,5.475,1.115989177,212.74583,68,3842,1874,0.583795226,1.185,TRUE,-9.875
"17_10","Chrysler$$Ypsilon$$2014$$Grey$$17_10$$39$$image_0.jpg",18,2,9,"Chrysler","Chrysler",TRUE,4,42,59.4,94.1,10.23875,0.319630237,0.936257678,5.475,1.115989177,212.74583,68,3842,1874,0.583795226,1.185,TRUE,-9.875
"17_10","Chrysler$$Ypsilon$$2012$$Grey$$17_10$$20$$image_8.jpg",18,2,9,"Chrysler","Chrysler",TRUE,4,42,59.4,94.1,10.23875,0.319630237,0.936257678,5.475,1.115989177,212.74583,68,3842,1874,0.583795226,1.185,TRUE,-9.875
"17_4","Chrysler$$Grand Voyager$$2010$$Black$$17_4$$12$$image_14.jpg",18,2,9,"Chrysler","Chrysler",TRUE,1,45,68.9,121.2,27.4674375,0.360122827,0.566399866,3.5,1.580380528,494.275804,178,5218,1954,0.561832074,2.07,TRUE,-7.519
"17_4","Chrysler$$Grand Voyager$$2008$$Black$$17_4$$30$$image_1.jpg",18,2,9,"Chrysler","Chrysler",TRUE,1,45,68.9,121.2,27.4674375,0.360122827,0.566399866,3.5,1.580380528,494.275804,178,5218,1954,0.561832074,2.07,TRUE,-7.519
"17_4","Chrysler$$Grand Voyager$$2014$$Grey$$17_4$$42$$image_2.jpg",18,2,9,"Chrysler","Chrysler",TRUE,4,45,68.9,121.2,27.4674375,0.360122827,0.566399866,3.5,1.580380528,494.275804,178,5218,1954,0.561832074,2.07,TRUE,-7.519
"17_8","Chrysler$$Sebring$$2008$$Silver$$17_8$$10$$image_0.jpg",18,2,9,"Chrysler","Chrysler",TRUE,2,47,59,108.9,15.6097125,0.449217415,0.895973643,3.6,1.385479517,342.81841,154,4850,1843,0.582815841,1.85,TRUE,-7.821
"17_8","Chrysler$$Sebring$$2008$$Silver$$17_8$$3$$image_3.jpg",18,2,9,"Chrysler","Chrysler",TRUE,2,47,59,108.9,15.6097125,0.449217415,0.895973643,3.6,1.385479517,342.81841,154,4850,1843,0.582815841,1.85,TRUE,-7.821
"17_9","Chrysler$$Voyager$$2008$$Grey$$17_9$$27$$image_1.jpg",18,2,9,"Chrysler","Chrysler",TRUE,4,48,68.9,121.2,19.144807,0.337473004,0.589899582,2.8,1.488248864,429.680438,145,4808,1997,0.565325467,2.34,TRUE,-6.572
"17_9","Chrysler$$Voyager$$2006$$Black$$17_9$$1$$image_1.jpg",18,2,9,"Chrysler","Chrysler",TRUE,1,48,68.9,121.2,19.144807,0.337473004,0.589899582,2.8,1.488248864,429.680438,145,4808,1997,0.565325467,2.34,TRUE,-6.572
"17_9","Chrysler$$Voyager$$2008$$Silver$$17_9$$18$$image_5.jpg",18,2,9,"Chrysler","Chrysler",TRUE,2,48,68.9,121.2,19.144807,0.337473004,0.589899582,2.8,1.488248864,429.680438,145,4808,1997,0.565325467,2.34,TRUE,-6.572
"18_12","Citroen$$C4$$2017$$Red$$18_12$$427$$image_4.jpg",3,13,1,"PSA Peugeot Citroen","Citroen",TRUE,6,49,58.44,102.7,13.5090802,0.343078811,0.938714592,4.78,1.192328726,277.6939352,94.9,4311.3,1784.2,0.485434664,1.383,TRUE,-5.48
"18_12","Citroen$$C4$$2013$$Silver$$18_12$$888$$image_0.jpg",3,13,1,"PSA Peugeot Citroen","Citroen",TRUE,2,49,58.44,102.7,13.5090802,0.343078811,0.938714592,4.78,1.192328726,277.6939352,94.9,4311.3,1784.2,0.485434664,1.383,TRUE,-5.48
"18_12","Citroen$$C4$$2016$$Grey$$18_12$$332$$image_16.jpg",3,13,1,"PSA Peugeot Citroen","Citroen",TRUE,4,49,58.44,102.7,13.5090802,0.343078811,0.938714592,4.78,1.192328726,277.6939352,94.9,4311.3,1784.2,0.485434664,1.383,TRUE,-5.48
"18_12","Citroen$$C4$$2015$$White$$18_12$$435$$image_14.jpg",3,13,1,"PSA Peugeot Citroen","Citroen",TRUE,5,49,58.44,102.7,13.5090802,0.343078811,0.938714592,4.78,1.192328726,277.6939352,94.9,4311.3,1784.2,0.485434664,1.383,TRUE,-5.48
"18_12","Citroen$$C4$$2016$$Black$$18_12$$815$$image_2.jpg",3,13,1,"PSA Peugeot Citroen","Citroen",TRUE,1,49,58.44,102.7,13.5090802,0.343078811,0.938714592,4.78,1.192328726,277.6939352,94.9,4311.3,1784.2,0.485434664,1.383,TRUE,-5.48
